,price,sentiment,sentiment_lag_1
2025-05-06,113.51940155029297,0.1672950545946757,0.10976506316143533
2025-05-07,117.03875732421875,0.07238769779602687,0.1672950545946757
2025-05-08,117.34870910644531,0.20787624269723892,0.07238769779602687
2025-05-09,116.62882995605469,0.14387709518958783,0.20787624269723892
2025-05-12,122.9776840209961,0.33186942934989927,0.14387709518958783
2025-05-13,129.9064178466797,0.0688853645324707,0.33186942934989927
2025-05-14,135.3154296875,0.1352141813228005,0.0688853645324707
2025-05-15,134.80552673339844,0.29350289877723246,0.1352141813228005
2025-05-16,135.37542724609375,0.24693371852238974,0.29350289877723246
2025-05-19,135.54539489746094,0.28623855113983154,0.24693371852238974
2025-05-20,134.35562133789062,0.0017236681545481963,0.28623855113983154
2025-05-21,131.7760772705078,0.19190574150819045,0.0017236681545481963
